Layer Title, Color, Specimen ID
Layer 1, Blue, 941312_A.3.trans

Mode, Integration Time, Boxcar Width, Scans to Average
Transmittance,350 ms,10,3

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
374.95222181211,2213.1715625,0%
375.16693465979,2210.47344494048,0%
375.381636407669,2191.65163690476,0%
375.59632705343,2201.95649553571,0%
375.811006594756,2173.15490327381,0%
376.025675029331,2169.31902529762,0%
376.240332354838,2168.18126488095,0%
376.454978568959,2181.24925595238,0%
376.669613669378,2210.66848958333,0%
376.884237653779,2198.90079613095,0%
377.098850519844,2204.94718005952,0%
377.313452265257,2195.38999255952,0%
377.5280428877,2191.22904017857,0%
377.742622384858,2192.691875,0%
377.957190754412,2183.03716517857,0%
378.171747994047,2190.67641369048,0%
378.386294101446,2213.07404017857,0%
378.600829074291,2213.26908482143,0%
378.815352910266,2211.9362797619,0%
379.029865607054,2215.28454613095,0%
